person_name,title,first_name,middle_name,last_name,primary_role,all_roles,church_count,churches,church_names,city_count,cities,states,pdf_count,bulletin_count_with_date,earliest_bulletin,latest_bulletin,active_2026,active_2025,active_2024,years_active,confidence
Irwin Dodge,Fr.,Irwin,,Dodge,Priest,Priest,1,us-il-naperville-st-margaret-mary-88d3febc,St. Margaret Mary,1,Naperville,illinois,1,1,2024-09-20,2024-09-20,False,False,True,2024,high
Isaac Abu,Fr.,Isaac,,Abu,Priest,Priest,1,us-ma-boston-st-francis-b8be0aa5,St. Francis,1,Boston,massachusetts,1,1,2024-03-31,2024-03-31,False,False,True,2024,high
Isaac Achi,Fr.,Isaac,,Achi,Priest,Priest,1,us-oh-youngstown-st-brendan-8a144c06,St. Brendan,1,Youngstown,ohio,1,0,,,False,False,False,,high
Isaac Arrieta,Fr.,Isaac,,Arrieta,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Isaac D. Kreutzer,Fr.,Isaac,D.,Kreutzer,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Isaac Demase,Rev.,Isaac,,Demase,Priest,Priest,1,us-ma-boston-st-cecilia-3f014820,St. Cecilia,1,Boston,massachusetts,1,0,,,False,False,False,,high
Isaac Hecker,Father; Fr.,Isaac,,Hecker,Priest,Priest,4,us-ca-san-francisco-old-st-marys-cathedral-chinese-mission-46f9881c; us-il-chicago-old-st-marys-53d4e7ac; us-ny-new-york-saint-paul-the-apostle-a4c50eb1; us-ny-troy-christ-sun-of-justice-rensselaer-polytech-chapel-cultural-center-a761267e,Christ Sun of Justice (Rensselaer Polytech Chapel + Cultural Center); Old Church of St. Mary; Old St. Mary's Cathedral; St. Paul the Apostle,4,Chicago; New York; San Francisco; Troy,california; illinois; new_york,4,4,2022-04-01,2025-11-01,False,True,False,2022; 2025,high
Isaac Kalina,Fr.,Isaac,,Kalina,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Isaac Lara,Fr.,Isaac,,Lara,Priest,Priest,1,us-il-glenview-our-lady-of-perpetual-help-b5ebe87b,Our Lady of Perpetual Help,1,Glenview,illinois,1,1,2026-01-11,2026-01-11,True,False,False,2026,high
Isaac Lejeune,Rev.,Isaac,,Lejeune,Priest,Priest,1,us-la-scott-sts-peter-paul-e9e21dc8,Sts. Peter and Paul,1,Scott,louisiana,1,0,,,False,False,False,,high
Isaac Levering,Br.,Isaac,,Levering,Brother,Brother,5,us-in-fulda-st-boniface-historic-church-6f1abb35; us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-saint-meinrad-st-meinrad-059e206c; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Historic St. Boniface Catholic Church; Our Lady of Monte Cassino Shrine; St. Meinrad; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",3,Fulda; Saint Meinrad; St. Meinrad,indiana,5,1,2025-10-05,2025-10-05,False,True,False,2025,high
Isaac Long,Sr.,Isaac,,Long,Sister,Sister,1,us-al-birmingham-blessed-sacrament-3f2faedc,Blessed Sacrament,1,Birmingham,alabama,1,1,2025-05-25,2025-05-25,False,True,False,2025,high
Isaac Maria,Br.,Isaac,,Maria,Brother,Brother,1,us-ca-oakland-st-albert-c04fc00f,Priory Chapel of St. Albert the Great,1,Oakland,california,1,0,,,False,False,False,,high
Isaac Morales,Fr.,Isaac,,Morales,Priest,Priest,10,us-ct-greenwich-st-agnes-the-parish-of-st-catherine-of-siena-and-st-agnes-3b8d76c6; us-ct-riverside-st-catherine-of-siena-d9953498; us-md-bethesda-saint-jane-frances-de-chantal-bf725e62; us-mi-auburn-hills-sacred-heart-catholic-church-8c4adc86; us-oh-attica-our-lady-of-hope-c58a98e0; us-oh-bellevue-st-gaspar-del-bufalo-fbfd687e; us-pa-canton-st-michael-b7c02ae4; us-pa-exton-ss-philip-and-james-0a9f1547; us-pa-ralston-st-aloysius-saint-michael-parish-5842a4da; us-pa-troy-st-john-nepomucene-saint-michael-parish-abef5e20,Our Lady of Hope; Sacred Heart Catholic Church; St. Agnes (The Parish of St. Catherine of Siena and St. Agnes); St. Aloysius-St. Michael Parish; St. Catherine of Siena; St. Gaspar del Bufalo; St. Jane Frances de Chantal; St. John Nepomucene; St. Michael's; Sts. Philip and James,10,Attica; Auburn Hills; Bellevue; Bethesda; Canton; Exton; Greenwich; Ralston; Riverside; Troy,connecticut; maryland; michigan; ohio; pennsylvania,10,3,2024-04-20,2026-01-25,True,False,True,2024; 2026,high
Isaac Opara,Father,Isaac,,Opara,Priest,Priest,1,us-dc-washington-our-lady-of-perpetual-help-dbcfea28,Our Lady of Perpetual Help,1,Washington,maryland,1,1,2026-01-25,2026-01-25,True,False,False,2026,high
Isaac Pecha,Fr.; Rev,Isaac,,Pecha,Priest,Associate Pastor; Priest,4,us-wi-rockland-st-peter-5904e9a7; us-wi-rockland-st-peter-catholic-church-middle-ridge-8a6b0eaa; us-wi-wausau-st-matthew-catholic-church-f8ccb41c; us-wi-wausau-st-matthew-d01b6872,St Matthew Catholic Church; St Peter Catholic Church (Middle Ridge); St. Matthew; St. Peter,2,Rockland; Wausau,wisconsin,4,2,2024-02-18,2024-03-17,False,False,True,2024,high
Isaac Sagastume,Dcn.; Rev.,Isaac,,Sagastume,Priest,Deacon; Priest,5,us-dc-washington-annunciation-957ffb4a; us-md-gaithersburg-st-martin-of-tours-c9642fc5; us-md-kensington-holy-redeemer-b480da46; us-md-rockville-st-raphael-70c3d6ba; us-md-silver-spring-st-andrew-apostle-c19d9f32,Annunciation; Holy Redeemer; St Martin Of Tours Church; St. Andrew Apostle; St. Raphael,5,Gaithersburg; Kensington; Rockville; Silver Spring; Washington,maryland,5,2,2024-06-02,2024-06-09,False,False,True,2024,high
Isaac Siefker,Fr.; Rev.,Isaac,,Siefker,Priest,Associate Pastor; Priest,2,us-in-bloomington-mother-of-the-redeemer-retreat-center-001ae7f7; us-in-indianapolis-good-shepherd-9a5adb93,Good Shepherd; Mother of the Redeemer Retreat Center,2,Bloomington; Indianapolis,indiana,2,1,2025-08-01,2025-08-01,False,True,False,2025,high
Isaac Stephen,Fr.,Isaac,,Stephen,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Isaac Thomas,Fr.,Isaac,,Thomas,Priest,Priest,1,us-il-chicago-old-st-marys-53d4e7ac,Old Church of St. Mary,1,Chicago,illinois,1,1,2024-08-04,2024-08-04,False,False,True,2024,high
Isaac W. Siefker,Rev.,Isaac,W.,Siefker,Priest,Priest,1,us-in-bloomington-mother-of-the-redeemer-retreat-center-001ae7f7,Mother of the Redeemer Retreat Center,1,Bloomington,indiana,1,1,2025-06-01,2025-06-01,False,True,False,2025,high
Isaac Wahlmeier,Fr.,Isaac,,Wahlmeier,Priest,Priest,2,us-ne-david-city-assumption-8539b585; us-ne-david-city-st-marys-catholic-church-b6676004,Assumption; St Mary's Catholic Church,1,David City,nebraska,2,0,,,False,False,False,,high
Isabel Juarez,Sr.,Isabel,,Juarez,Sister,Sister,1,us-nm-las-cruces-immaculate-heart-of-mary-cathedral-43f71938,Immaculate Heart of Mary Cathedral,1,Las Cruces,new_mexico,1,1,2025-02-01,2025-02-01,False,True,False,2025,high
Isabel Maria,Sr.,Isabel,,Maria,Sister,Sister,2,us-ky-whitesville-st-joseph-monastery-chapel-cff7be76; us-oh-wyoming-st-james-of-the-valley-faf2281c,St. James of the Valley; St. Joseph Monastery Chapel,2,Whitesville; Wyoming,kentucky; ohio,2,0,,,False,False,False,,high
Isabel Mesker,,Isabel,,Mesker,Pastor,Pastor,1,us-tx-fort-worth-our-mother-of-mercy-61b6b1f9,Our Mother of Mercy,1,Fort Worth,texas,1,1,2025-12-21,2025-12-21,False,True,False,2025,high
Isabel Mula,Sr.,Isabel,,Mula,Sister,Sister,1,us-ia-epworth-divine-word-college-seminary-b3ff2eab,Divine Word College Seminary,1,Epworth,iowa,1,0,,,False,False,False,,high
Isabel P Maria,Sister,Isabel,P,Maria,Sister,Sister,1,us-ky-whitesville-st-joseph-monastery-chapel-cff7be76,St. Joseph Monastery Chapel,1,Whitesville,kentucky,1,0,,,False,False,False,,high
Isabel Rudge,Sr.,Isabel,,Rudge,Sister,Sister,2,us-oh-youngstown-st-columba-75d8b76e; us-oh-youngstown-st-edward-parish-family-7ba03db5,St. Columba Cathedral; St. Edward,1,Youngstown,ohio,2,0,,,False,False,False,,high
Isabel Tiago,Sr.,Isabel,,Tiago,Sister,Sister,1,us-ia-epworth-divine-word-college-seminary-b3ff2eab,Divine Word College Seminary,1,Epworth,iowa,1,0,,,False,False,False,,high
Isabella Otero,,Isabella,,Otero,Deacon,Deacon,2,us-ga-reidsville-st-andrew-the-apostle-05a5507a; us-ga-vidalia-sacred-heart-7789c58b,Sacred Heart; St. Andrew the Apostle,2,Reidsville; Vidalia,georgia,2,1,2026-02-22,2026-02-22,True,False,False,2026,high
Isabelle Lohan,Sister,Isabelle,,Lohan,Sister,Sister,1,us-ga-augusta-st-joseph-89c5daa4,St. Joseph,1,Augusta,georgia,1,0,,,False,False,False,,high
Isaiah Agochukwu,Fr.,Isaiah,,Agochukwu,Priest,Priest,1,us-nj-union-st-michael-f9df4b9c,St. Michael,1,Union,new_jersey,1,0,,,False,False,False,,high
Isaiah Bradley,Sr.,Isaiah,,Bradley,Sister,Sister,1,us-la-lacombe-st-john-of-the-cross-a5f03031,St. John of the Cross,1,Lacombe,louisiana,1,0,,,False,False,False,,high
Isaiah Callan,Fr.,Isaiah,,Callan,Priest,Priest,6,us-oh-cincinnati-oratory-of-st-john-vianney-at-st-anthony-581e2ad8; us-oh-cincinnati-st-cecilia-d6257a2b; us-oh-covington-st-teresa-of-the-infant-jesus-81244265; us-oh-hyde-park-st-mary-43662c3c; us-oh-troy-st-patrick-f4cb0dc8; us-oh-west-milton-church-of-the-transfiguration-aa2f500e,St. Anthony Parish; St. Cecilia; St. Mary; St. Patrick; St. Teresa of the Infant Jesus; Transfiguration,5,Cincinnati; Covington; Hyde Park; Troy; West Milton,ohio,6,4,2025-03-20,2026-02-22,True,True,False,2025; 2026,high
Isaiah Klena,Br.,Isaiah,,Klena,Brother,Brother,2,us-ma-amesbury-st-andre-bessette-parish-st-joseph-86023d25; us-ma-salisbury-st-andre-bessette-parish-star-of-the-sea-e2771f22,St. Andre Bessette Parish - St. Joseph; Star Of The Sea Parish,2,Amesbury; Salisbury,massachusetts,2,0,,,False,False,False,,high
Isaiah Lena,Br.,Isaiah,,Lena,Brother,Brother,2,us-ma-amesbury-st-andre-bessette-parish-st-joseph-86023d25; us-ma-salisbury-st-andre-bessette-parish-star-of-the-sea-e2771f22,St. Andre Bessette Parish - St. Joseph; Star Of The Sea Parish,2,Amesbury; Salisbury,massachusetts,2,0,,,False,False,False,,high
Isaiah Martinez,Sr.,Isaiah,,Martinez,Sister,Sister,1,us-ca-wildomar-st-frances-of-rome-cd8d38e5,St. Frances of Rome,1,Wildomar,california,1,1,2023-12-20,2023-12-20,False,False,False,2023,high
Isaiah Mary,Fr.,Isaiah,,Mary,Priest,Priest,3,us-ca-los-angeles-st-dominic-eac1ff99; us-ca-oakland-st-albert-c04fc00f; us-ca-tujunga-our-lady-of-lourdes-58256562,Our Lady of Lourdes Bingo; Priory Chapel of St. Albert the Great; St. Dominic,3,Los Angeles; Oakland; Tujunga,california,3,2,2023-09-03,2026-02-15,True,False,False,2023; 2026,high
Isaiah Michelle,Fr.,Isaiah,,Michelle,Priest,Priest,1,us-ca-tujunga-our-lady-of-lourdes-58256562,Our Lady of Lourdes Bingo,1,Tujunga,california,1,1,2024-12-15,2024-12-15,False,False,True,2024,high
Isaiah Molano,Br.; Fr.,Isaiah,,Molano,Priest,Brother; Priest,2,us-ca-oakland-st-albert-c04fc00f; us-ca-tujunga-our-lady-of-lourdes-58256562,Our Lady of Lourdes Bingo; Priory Chapel of St. Albert the Great,2,Oakland; Tujunga,california,2,1,2025-01-19,2025-01-19,False,True,False,2025,high
Isaiah Schick,Fr.,Isaiah,,Schick,Priest,Priest,1,us-wi-slinger-st-peter-cab3700d,St. Peter,1,Slinger,wisconsin,1,0,,,False,False,False,,high
Isaiah Simon,Br.,Isaiah,,Simon,Brother,Brother,1,us-ca-oakland-st-albert-c04fc00f,Priory Chapel of St. Albert the Great,1,Oakland,california,1,0,,,False,False,False,,high
Isaque Meneses,Fr.,Isaque,,Meneses,Priest,Priest,2,us-ca-hilmar-holy-rosary-ee6b9474; us-ca-stevinson-st-mary-419abbdc,Holy Rosary; St. Mary,2,Hilmar; Stevinson,california,2,1,2026-02-20,2026-02-20,True,False,False,2026,high
Isiah Molano,Fr.,Isiah,,Molano,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Isidore Hobi,Fr.,Isidore,,Hobi,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Isidore Port,Father,Isidore,,Port,Priest,Priest,1,us-pa-bethlehem-saint-josaphat-ukrainian-80754e13,St. Josaphat (Ukrainian),1,Bethlehem,pennsylvania,1,0,,,False,False,False,,high
Isidro Lepez,Father,Isidro,,Lepez,Priest,Priest,1,us-wa-yakima-holy-redeemer-4d26d38b,Holy Redeemer,1,Yakima,washington,1,0,,,False,False,False,,high
Isidro Puente,Msgr.,Isidro,,Puente,Monsignor,Monsignor,1,us-tx-san-antonio-st-anthony-mary-claret-bb4d3686,St. Anthony Mary Claret,1,San Antonio,texas,1,1,2025-10-01,2025-10-01,False,True,False,2025,high
Isidro Puentes,Fr.,Isidro,,Puentes,Priest,Priest,1,us-ca-santa-rosa-st-eugenes-cathedral-5d5e27b2,St. Eugene Cathedral,1,Santa Rosa,california,1,1,2023-11-12,2023-11-12,False,False,False,2023,high
Ismael Garcia,Rev.,Ismael,,Garcia,Priest,Priest,2,us-il-northbrook-church-of-our-lady-of-the-brook-4d379240; us-il-northbrook-st-norbert-and-our-lady-of-the-brook-b1d2e578,Our Lady of the Brook; St. Norbert Catholic Church,1,Northbrook,illinois,2,0,,,False,False,False,,high
Ismael Lugar,Father,Ismael,,Lugar,Priest,Priest,1,us-il-chicago-blessed-sacrament-c519cec9,Blessed Sacrament,1,Chicago,illinois,1,0,,,False,False,False,,high
Ismael Mora,Fr.,Ismael,,Mora,Priest,Priest,1,us-ca-napa-st-john-the-baptist-922e6205,St. John the Baptist,1,Napa,california,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Ismael Perez,,Ismael,,Perez,Priest,Priest,1,us-fl-naples-saint-agnes-6eb178f7,St. Agnes,1,Naples,florida,1,1,2026-02-15,2026-02-15,True,False,False,2026,high
Ismael Reyes,Deacon,Ismael,,Reyes,Deacon,Deacon,1,us-tx-mesquite-divine-mercy-of-our-lord-59c5caf9,Divine Mercy of Our Lord,1,Mesquite,texas,1,0,,,False,False,False,,high
Ismael Robles,Fr.,Ismael,,Robles,Pastor,Pastor; Priest,3,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1; us-ca-los-angeles-st-agatha-8cfded5c; us-ca-tustin-st-cecilia-7448aed5,St. Agatha; St. Barnabas Catholic Church; St. Cecilia,3,Long Beach; Los Angeles; Tustin,california,3,3,2017-02-26,2025-07-20,False,True,False,2017; 2023; 2025,high
Ismael Sandoval,Fr.,Ismael,,Sandoval,Priest,Priest,1,us-il-chicago-blessed-sacrament-c519cec9,Blessed Sacrament,1,Chicago,illinois,1,0,,,False,False,False,,high
Ismael Silva,Rev.,Ismael,,Silva,Parochial Vicar,Parochial Vicar,1,us-ca-tustin-st-cecilia-7448aed5,St. Cecilia,1,Tustin,california,1,1,2018-09-02,2018-09-02,False,False,False,2018,high
Ismael Velazco,Fr.,Ismael,,Velazco,Parochial Vicar,Parochial Vicar,1,us-tx-san-angelo-st-joseph-9800ab04,St. Joseph,1,San Angelo,texas,1,0,,,False,False,False,,high
Ismael Vences,,Ismael,,Vences,Pastor,Pastor,1,us-tx-elgin-sacred-heart-7db606ce,Sacred Heart,1,Elgin,texas,1,0,,,False,False,False,,high
Ismar Martinez,Deacon,Ismar,,Martinez,Deacon,Deacon,1,us-fl-sunny-isles-beach-st-mary-magdalen-46a3d836,St. Mary Magdalen,1,Sunny Isles Beach,florida,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Israel Hernandez,Rev.,Israel,,Hernandez,Priest,Priest,1,us-fl-saint-petersburg-blessed-trinity-369e0b6b,Blessed Trinity,1,Saint Petersburg,florida,1,1,2024-03-17,2024-03-17,False,False,True,2024,high
Israel Ramirez,Fr.,Israel,,Ramirez,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Israel Rodr,Deacon,Israel,,Rodr,Deacon,Deacon,1,us-ca-orange-st-norbert-4e2fdfb2,St. Norbert,1,Orange,california,1,1,2024-02-18,2024-02-18,False,False,True,2024,high
Israel Rosario,Deacon,Israel,,Rosario,Deacon,Deacon,1,us-ny-brooklyn-transfiguration-church-115b25be,Transfiguration,1,Brooklyn,new_york,1,1,2010-12-20,2010-12-20,False,False,False,2010,high
Israel Rose,Sister; Sr.,Israel,,Rose,Sister,Sister,2,us-ca-oakland-st-albert-c04fc00f; us-or-portland-the-madeleine-church-089117bc,Priory Chapel of St. Albert the Great; The Madeleine Church,2,Oakland; Portland,california; oregon,2,1,2025-02-16,2025-02-16,False,True,False,2025,high
Issac Lara,Fr.,Issac,,Lara,Priest,Priest,2,us-il-northfield-divine-mercy-parish-st-philip-the-apostle-9f36ff5f; us-il-winnetka-divine-mercy-parish-sacred-heart-church-d11f1d30,Divine Mercy Parish-Sacred Heart Church; St. Philip the Apostle,2,Northfield; Winnetka,illinois,2,0,,,False,False,False,,high
Istvan Mustos,Fr.,Istvan,,Mustos,Priest,Priest,1,us-nj-passaic-st-stephens-hungarian-4b7b0499,St. Stephen,1,Passaic,new_jersey,1,1,2022-04-20,2022-04-20,False,False,False,2022,high
It is possible,,It,is,possible,Pastor,Pastor,1,us-nj-midland-park-church-of-the-nativity-5a59436b,Nativity,1,Midland Park,new_jersey,1,0,,,False,False,False,,high
Ita Ford,Sister,Ita,,Ford,Sister,Sister,2,us-ny-brooklyn-st-ephrem-189a1e77; us-ny-corona-our-lady-of-sorrows-2447dd82,Our Lady of Sorrows; St. Ephrem,2,Brooklyn; Corona,new_york,2,1,2024-12-01,2024-12-01,False,False,True,2024,high
Ita Hennelly,Sister,Ita,,Hennelly,Sister,Sister,1,us-fl-titusville-st-teresa-catholic-church-2b874846,St. Teresa Catholic Church,1,Titusville,florida,1,0,,,False,False,False,,high
Italo Del,Bishop,Italo,,Del,Bishop,Bishop,1,us-tx-friendswood-mary-queen-7acb4b50,Mary Queen,1,Friendswood,texas,1,1,2025-03-30,2025-03-30,False,True,False,2025,high
Italo Dell,Bishop,Italo,,Dell,Bishop,Bishop,7,us-tx-baytown-st-joseph-f0c6d1eb; us-tx-baytown-st-josephs-catholic-church-5ce495de; us-tx-friendswood-mary-queen-7acb4b50; us-tx-houston-st-francis-de-sales-8a266933; us-tx-houston-st-jerome-2c987b08; us-tx-pasadena-st-pius-v-e7f9f269; us-tx-pearland-st-helen-5238518e,Mary Queen; St Joseph's Catholic Church; St. Francis de Sales; St. Helen; St. Jerome; St. Joseph; St. Pius V,5,Baytown; Friendswood; Houston; Pasadena; Pearland,texas,7,4,2024-10-27,2026-02-01,True,True,True,2024; 2025; 2026,high
Italo Misa,Bishop,Italo,,Misa,Bishop,Bishop,1,us-tx-houston-st-jerome-2c987b08,St. Jerome,1,Houston,texas,1,1,2024-09-01,2024-09-01,False,False,True,2024,high
Ivan Alatorre,Father; Fr.; Rev.,Ivan,,Alatorre,Priest,Priest,5,us-in-fish-lake-church-of-st-anthony-of-padua-2b8e6cfe; us-in-hobart-st-bridget-22e73aa9; us-in-portage-nativity-of-our-savior-b740cba0; us-in-rolling-prairie-st-john-kanty-times-are-shown-in-central-time-49fb70af; us-in-walkerton-st-anthony-of-padua-times-are-shown-in-central-time-a3443618,Nativity of Our Savior; St. Anthony of Padua; St. Anthony of Padua (times are shown in Central Time); St. Bridget; St. John Kanty (times are shown in Central Time),5,Fish Lake; Hobart; Portage; Rolling Prairie; Walkerton,indiana,5,1,2025-06-20,2025-06-20,False,True,False,2025,high
Ivan Gerovac,Fr.,Ivan,,Gerovac,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Ivan Hawk,Deacon,Ivan,,Hawk,Deacon,Deacon,3,us-ct-simsbury-st-catherine-of-siena-a8c06b85; us-ct-west-simsbury-st-catherine-of-siena-cd556a1d; us-sc-chapin-our-lady-of-the-lake-7eabd08c,Our Lady of the Lake; St. Catherine of Siena,3,Chapin; Simsbury; West Simsbury,connecticut; south_carolina,3,2,2025-02-23,2025-05-25,False,True,False,2025,high
Ivan Hennessy Victoria,,Ivan,Hennessy,Victoria,Deacon,Deacon,1,us-ca-santa-ana-christ-our-savior-f93b2113,Christ Our Savior,1,Santa Ana,california,1,1,2023-05-05,2023-05-05,False,False,False,2023,high
Ivan Hernandez,Dcn.; Fr.,Ivan,,Hernandez,Priest,Deacon; Priest,3,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1; us-fl-rockledge-church-of-st-mary-d8308259; us-fl-rockledge-st-mary-catholic-church-5d3175e4,St. Barnabas Catholic Church; St. Mary; St. Mary Catholic Church,2,Long Beach; Rockledge,california; florida,3,1,2025-07-20,2025-07-20,False,True,False,2025,high
Ivan John,Fr.,Ivan,,John,Priest,Priest,1,us-ca-san-francisco-old-st-marys-cathedral-chinese-mission-46f9881c,Old St. Mary's Cathedral,1,San Francisco,california,1,1,2025-11-09,2025-11-09,False,True,False,2025,high
Ivan Jordan,Fr.,Ivan,,Jordan,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Ivan Lazcano,Deacon,Ivan,,Lazcano,Deacon,Deacon,1,us-il-melrose-park-our-lady-of-mount-carmel-7b57255c,Our Lady of Mount Carmel,1,Melrose Park,illinois,1,1,2026-02-02,2026-02-02,True,False,False,2026,high
Ivan Lovic,Rev.,Ivan,,Lovic,Priest,Priest,1,us-ny-middletown-saint-joseph-0289cbf6,St. Joseph,1,Middletown,new_york,1,1,2025-06-29,2025-06-29,False,True,False,2025,high
Ivan Lovric,Rev.,Ivan,,Lovric,Priest,Priest,1,us-ny-middletown-saint-joseph-0289cbf6,St. Joseph,1,Middletown,new_york,1,1,2026-01-25,2026-01-25,True,False,False,2026,high
Ivan Martyrs,Fr.,Ivan,,Martyrs,Priest,Priest,1,us-nj-perth-amboy-assumption-of-blessed-virgin-mary-ukrainian-e086d359,Assumption of Blessed Virgin Mary (Ukrainian),1,Perth Amboy,new_jersey,1,1,2020-12-13,2020-12-13,False,False,False,2020,high
Ivan Medina,Deacon,Ivan,,Medina,Deacon,Deacon,1,us-in-zionsville-st-alphonsus-liguori-e43be801,St. Alphonsus Liguori,1,Zionsville,indiana,1,0,,,False,False,False,,high
Ivan Mina,Father,Ivan,,Mina,Priest,Priest,1,us-pa-portage-sts-peter-and-paul-ruthenian-a410606f,Sts. Peter and Paul (Ruthenian),1,Portage,pennsylvania,1,1,2025-08-01,2025-08-01,False,True,False,2025,high
Ivan Nienhaus,Fr.,Ivan,,Nienhaus,Priest,Priest,3,us-ia-anamosa-oratory-of-st-joseph-57230312; us-ia-anamosa-st-patrick-01624433; us-ia-independence-st-john-the-evangelist-bd758700,Oratory of St. Joseph; St. John the Evangelist; St. Patrick,2,Anamosa; Independence,iowa,3,2,2024-04-28,2024-08-25,False,False,True,2024,high
Ivan O. Hawk,Dcn.,Ivan,O.,Hawk,Deacon,Deacon,1,us-sc-simpsonville-st-mary-magdalene-5175d44c,St. Mary Magdalene,1,Simpsonville,south_carolina,1,1,2025-05-18,2025-05-18,False,True,False,2025,high
Ivan Olmo,Fr.,Ivan,,Olmo,Priest,Priest,1,us-ma-weston-pope-st-john-xxiii-national-seminary-8d6de817,Pope St. John XXIII National Seminary,1,Weston,massachusetts,1,0,,,False,False,False,,high
Ivan Pascha,Fr.,Ivan,,Pascha,Priest,Priest,1,us-nj-perth-amboy-assumption-of-blessed-virgin-mary-ukrainian-e086d359,Assumption of Blessed Virgin Mary (Ukrainian),1,Perth Amboy,new_jersey,1,1,2021-04-04,2021-04-04,False,False,False,2021,high
Ivan Pisarczyk,Sr.,Ivan,,Pisarczyk,Sister,Sister,1,us-ct-ansonia-ss-peter-and-paul-ukrainian-d5bb9300,Ss. Peter and Paul (Ukrainian),1,Ansonia,connecticut,1,0,,,False,False,False,,high
Ivan Rusyn,Fr.,Ivan,,Rusyn,Priest,Priest,2,us-pa-johnstown-st-mary-ruthenian-c9671f2f; us-pa-portage-sts-peter-and-paul-ruthenian-a410606f,St. Mary (Ruthenian); Sts. Peter and Paul (Ruthenian),2,Johnstown; Portage,pennsylvania,2,1,2025-03-01,2025-03-01,False,True,False,2025,high
Ivan Sciberras,Fr.,Ivan,,Sciberras,Pastor,Pastor,1,us-nj-belleville-st-peter-36c990c6,St. Peter,1,Belleville,new_jersey,1,1,2023-02-19,2023-02-19,False,False,False,2023,high
Ivan Toledo,Rev.,Ivan,,Toledo,Priest,Priest,1,us-fl-miami-st-joachim-b663e600,St. Joachim,1,Miami,florida,1,0,,,False,False,False,,high
Ivan Toro,Deacon,Ivan,,Toro,Deacon,Deacon,2,us-ny-cedarhurst-st-joachim-d99313f1; us-ny-inwood-our-lady-of-good-counsel-8d99aec4,Our Lady of Good Counsel; St. Joachim,2,Cedarhurst; Inwood,new_york,2,1,2026-02-15,2026-02-15,True,False,False,2026,high
